id,label,group,level
721,METTL16,human protein,3
722,METTL7B,human protein,3
723,MFAP3L,human protein,3
724,MFGE8,human protein,3
725,MFSD10,human protein,3
726,MFSD11,human protein,3
727,MFSD3,human protein,3
728,MFSD5,human protein,3
729,MFSD8,human protein,3
730,MGLL,human protein,3
731,MGRN1,human protein,3
732,MGST1,human protein,3
733,MIB1,human protein,3
734,MICA,human protein,3
735,MIPEP,human protein,3
736,MIPOL1,human protein,3
737,MKI67,human protein,3
738,MKRN2,human protein,3
739,MMP15,human protein,3
740,MOB4,human protein,3
741,MOGS,human protein,3
742,MOSPD2,human protein,3
743,MOV10,human protein,3
744,MPHOSPH10,human protein,3
745,MPZL1,human protein,3
746,MRC2,human protein,3
747,MROH1,human protein,3
748,MRPL15,human protein,3
749,MRPS2,human protein,3
750,MRPS22,human protein,3
751,MRPS25,human protein,3
752,MRPS27,human protein,3
753,MRPS5,human protein,3
754,MRTO4,human protein,3
755,MSMO1,human protein,3
756,MSN,human protein,3
757,MSX2,human protein,3
758,MTARC1,human protein,3
759,MTCH1,human protein,3
760,MTDH,human protein,3
761,MTFP1,human protein,3
762,MTFR1L,human protein,3
763,MTHFD1,human protein,3
764,MTHFD1L,human protein,3
765,MTPN,human protein,3
766,MTX1,human protein,3
767,MUC13,human protein,3
768,MUL1,human protein,3
769,MYCBP2,human protein,3
770,MYH16,human protein,3
771,MYL12A,human protein,3
772,MYL6,human protein,3
773,MYO1B,human protein,3
774,MYO6,human protein,3
775,MYOF,human protein,3
776,MYRF,human protein,3
777,NAA10,human protein,3
778,NACA,human protein,3
779,NAPA,human protein,3
780,NAPG,human protein,3
781,NARS2,human protein,3
782,NAT10,human protein,3
783,NAT14,human protein,3
784,NBR1,human protein,3
785,NCAPD3,human protein,3
786,NCAPG2,human protein,3
787,NCAPH2,human protein,3
788,NCEH1,human protein,3
789,NCOA4,human protein,3
790,NCSTN,human protein,3
791,ND1,human protein,3
792,NDC1,human protein,3
793,NDFIP1,human protein,3
794,NDFIP2,human protein,3
795,NDRG1,human protein,3
796,NDUFA10,human protein,3
797,NDUFA12,human protein,3
798,NDUFAF1,human protein,3
799,NDUFAF2,human protein,3
800,NDUFB11,human protein,3
801,NDUFB9,human protein,3
802,NDUFS2,human protein,3
803,NDUFS8,human protein,3
804,NEDD1,human protein,3
805,NEK9,human protein,3
806,NEO1,human protein,3
807,NETO2,human protein,3
808,NEU1,human protein,3
809,NF1,human protein,3
810,NFE2L2,human protein,3
811,NGDN,human protein,3
812,NGLY1,human protein,3
813,NIN,human protein,3
814,NINL,human protein,3
815,NIPA1,human protein,3
816,NKRF,human protein,3
817,NLRX1,human protein,3
818,NME3,human protein,3
819,NOC3L,human protein,3
820,NOL10,human protein,3
821,NOP2,human protein,3
